name,country,mbid,youtube_channel
The Harp Consort,GG,9061f12d-31f5-41f1-9f67-719eef65c0b3,
Methodical Madness,GG,58e8fea0-3c84-4ad1-9bd2-545eafc7a498,
Flexagon,GG,e7cc1968-fd42-44d6-b425-2ba7de701b1b,
The Risk,GG,1eb1ef36-b3e3-4722-9cb1-20558be0dcf6,
Earthcorpse,GG,17c8865e-f38d-4415-8031-cc3e1585771f,
The Recks,GG,6297dad1-7f2e-4302-bb02-a793d78bc9a7,
Brunt,GG,2e0611e6-0cbd-4d1a-8504-506533a7353e,
Lord Vapour,GG,3191d851-1b22-4085-a818-64c41e408b4c,
Byzanthian Neckbeard,GG,483f22e7-253c-469e-a3cf-ab8b5e16451d,
Finley Gomez,GG,745e076a-09e7-407c-a934-2b96a34ae0d2,
Dead Wing,GG,750dfa03-16a6-4212-aae4-3f5629261f3d,
Thee Jenerators,GG,050ef6c7-8d75-44af-988e-4cfeb01645ef,
Beau Sejour,GG,cba03220-f38b-4dfb-b2d1-0f131b915e4c,
Willers,GG,2526198d-6915-4828-b358-535008ecae8e,
Buffalo Huddleston,GG,002ca9cb-cf74-44fd-83cd-f7dac7a65412,
BLAKALASKA,GG,1193e86f-7441-4993-9939-b38b293b9cf1,
Seeing Red,GG,35f434d7-7d0a-489d-9e3f-af510c068598,
Philip Hamon,GG,13336bc0-a9fb-44cd-93a4-882f12772beb,
Hilary Carre,GG,1609afec-5646-4d99-9c5a-2c4685fa4b5c,
Grace & Elliott,GG,c352830c-5a55-48c9-b69e-50fdd01171c8,
Track Not Found,GG,ee2ca8a2-01a4-4553-ac63-857ff587ca5a,
Last Of The Light Brigade,GG,2054d456-1b4e-4aa0-ae8d-f1d946a58c47,
Mark Le Page,GG,b099a304-c97e-416a-baeb-0e0c0913c4ff,
Lydia Jane Pugh,GG,4b3a321a-1c33-40c6-bc84-5a4cde4311c6,
James Dumbleton,GG,63aed0a5-8cef-4000-a6e7-b4afabb30b54,
Matthew Power,GG,ae457f0e-09a5-4447-ab47-38f772ae9e8f,
Mrs. Roger Hargreaves,GG,794e175b-cdd6-4ca5-8dde-bb5bdbb42dd1,
Lee Oliver,GG,68670882-c0f8-464d-8dc4-49e8774d50c4,
Robert Hotton,GG,c59a3171-8807-4c36-b3ce-5045807c4c2f,
Alex Charlwood,GG,1c0b3e8a-f111-4cac-9b72-9a3a7ca77cb1,
Ferox,GG,cc1777a7-84d8-460e-80d8-4d877f34aec8,
Sean David,GG,9e0efffe-f353-4ef1-bbde-c4cd0d10c930,
Bliss Ignorance,GG,7a7109f0-a75f-43d9-9293-812a7858ec0c,
Mimi Helyar,GG,804ba2e8-b57b-426f-9745-f78eb2e82561,
